0,1,2,3
0,1,0.00922,0.0047
1,2,0.00493,0.02511
2,3,0.0366,0.01864
3,4,0.03811,0.01941
4,5,0.0819,0.0707
5,6,0.01872,0.06188
6,7,0.07114,0.02351
7,8,0.103,0.074
8,9,0.1044,0.074
9,10,0.01966,0.0065
10,11,0.03744,0.01238
11,12,0.1468,0.1155
12,13,0.05416,0.07129
13,14,0.0591,0.0526
14,15,0.07463,0.0545
15,16,0.1289,0.1721
16,17,0.0732,0.0574
1,18,0.0164,0.01565
18,19,0.15042,0.13554
19,20,0.04095,0.04784
20,21,0.07089,0.09373
2,22,0.04512,0.03083
22,23,0.0898,0.07091
23,24,0.0896,0.07011
5,25,0.0203,0.01034
25,26,0.02842,0.01447
26,27,0.1059,0.09337
27,28,0.08042,0.07006
28,29,0.05075,0.02585
29,30,0.09744,0.0963
30,31,0.03105,0.03619
31,32,0.0341,0.05302
